Document,Title,Type,Organization,Org Abbreviation,Statement.Year,Statement.Month,Statement.Day,Statement.Individual,Retrieval Date (YYMMDD),url or source
120923 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,12,9,23,,161215,URL: web.archive.org/web/20130605144344/http://www.ikhwansyria.com/Portals/Content/?Name=%D8%A8%D9%8A%D8%A7%D9%86%20%D8%B5%D8%AD%D9%81%D9%8A%20%D9%85%D9%86%20%D8%AC%D9%85%D8%A7%D8%B9%D8%A9%20%D8%A7%D9%84%D8%A5%D8%AE%D9%88%D8%A7%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%8A%D9%86%20%D9%81%D9%8A%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A9%20%D8%AD%D9%88%D9%84%20%D8%AA%D8%B5%D8%B1%D9%8A%D8%AD%D8%A7%D8%AA%20%D8%B9%D9%84%D9%8A%20%D9%84%D8%A7%D8%B1%D9%8A%D8%AC%D8%A7%D9%86%D9%8A..%202392012&info=YVdROU16RXlPVGNtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
121008 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,12,10,8,,161215,URL: web.archive.org/web/20130820033834/http://ikhwansyria.com/Portals/Content/?Name=%D8%A7%D9%84%D8%B4%D8%A7%D8%B0%D9%84%D9%8A%20%D8%A8%D9%86%20%D8%AC%D8%AF%D9%8A%D8%AF%20%D9%81%D9%8A%20%D8%B0%D9%85%D8%A9%20%D8%A7%D9%84%D9%84%D9%87&info=YVdROU16RTJOVEltYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
121102 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,12,11,2,,161215,URL: web.archive.org/web/20130819235310/http://ikhwansyria.com/Portals/Content/?Name=%D8%AD%D9%88%D9%84%20%D9%84%D9%82%D8%A7%D8%A1%20%D8%B9%D9%85%D9%91%D8%A7%D9%86%20%D8%A7%D9%84%D8%AA%D8%B4%D8%A7%D9%88%D8%B1%D9%8A%20-%2002112012&info=YVdROU16SXlNREVtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
121125 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,12,11,25,,161215,URL: web.archive.org/web/20130820024746/http://ikhwansyria.com/Portals/Content/?Name=%D8%AD%D9%88%D9%84%20%D8%A8%D9%86%D9%88%D8%AF%20%D8%A7%D8%AA%D9%81%D8%A7%D9%82%20%D8%A7%D9%84%D8%AF%D9%88%D8%AD%D8%A9%20%D8%A7%D9%84%D9%85%D8%B2%D8%B9%D9%88%D9%85%20&info=YVdROU16STNNRGNtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
121204 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,12,12,4,,161215,URL: web.archive.org/web/20130819235626/http://ikhwansyria.com/Portals/Content/?Name=%D8%B4%D8%B9%D8%A8%D9%86%D8%A7%20%D9%8A%D9%86%D8%AA%D8%B8%D8%B1%20%D9%85%D9%86%D8%B9%20%D8%A7%D9%84%D8%AC%D8%B1%D9%8A%D9%85%D8%A9%20%D9%84%D8%A7%20%D8%A7%D9%84%D8%B9%D9%82%D9%88%D8%A8%D8%A9%20%D8%B9%D9%84%D9%8A%D9%87%D8%A7&info=YVdROU16STRPREFtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
121211 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,12,12,11,,161215,URL: web.archive.org/web/20131109204025/http://ikhwansyria.com/Portals/Content/?Name=%D8%A7%D9%84%D8%A5%D8%B1%D9%87%D8%A7%D8%A8%20%D8%B3%D9%84%D9%88%D9%83%20%D9%88%D9%84%D9%8A%D8%B3%20%D9%87%D9%88%D9%8A%D8%A9%20%D9%88%D8%A8%D8%B4%D8%A7%D8%B1%20%D8%A7%D9%84%D8%A3%D8%B3%D8%AF%20%D9%87%D9%88%20%D8%A7%D9%84%D8%A5%D8%B1%D9%87%D8%A7%D8%A8%D9%8A%20%D8%A7%D9%84%D9%88%D8%AD%D9%8A%D8%AF%20%D8%B9%D9%84%D9%89%20%D8%A7%D9%84%D8%A3%D8%B1%D8%B6%20%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%D8%A9&info=YVdROU16TXdOamdtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
121225 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,12,12,25,,161215,URL: web.archive.org/web/20131109200217/http://ikhwansyria.com/Portals/Content/?Name=%D8%A7%D9%84%D8%A5%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85%D9%8A%20%D9%88%D8%B5%D9%84..%20%D8%AD%D9%84%D9%81%D8%A7%D9%8A%D8%A7%20%D8%A7%D9%84%D8%AF%D9%85%20%D8%B9%D9%86%20%D9%8A%D9%85%D9%8A%D9%86%D9%87..%20%D9%88%D8%A7%D9%84%D8%BA%D8%A7%D8%B2%D8%A7%D8%AA%20%D8%A7%D9%84%D9%82%D8%A7%D8%AA%D9%84%D8%A9%20%D8%B9%D9%86%20%D8%B4%D9%85%D8%A7%D9%84%D9%87..%20%D9%88%D8%A7%D9%84%D8%AA%D9%82%D8%B1%D9%8A%D8%B1%20%D8%A7%D9%84%D8%AD%D9%82%D9%88%D9%82%D9%8A%20%D8%BA%D9%8A%D8%B1%20%D8%A7%D9%84%D9%85%D9%87%D9%86%D9%8A%20%D8%A8%D9%8A%D9%86%20%D9%8A%D8%AF%D9%8A%D9%87&info=YVdROU16TXpNVFltYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130106 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,1,6,,161215,
130109 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,1,9,,161215,URL: web.archive.org/web/20131110003258/http://ikhwansyria.com/Portals/Content/?Name=%D8%A8%D8%B4%D8%A7%D8%B1%20%D8%A7%D9%84%D8%A3%D8%B3%D8%AF%20%D8%A3%D9%86%D8%AA%20-%D9%88%D9%84%D9%8A%D8%B3%20%D9%85%D8%A8%D8%A7%D8%AF%D8%B1%D8%AA%D9%83%20%D9%81%D9%82%D8%B7-%20%D9%84%D8%A7%20%D8%AA%D8%B9%D9%86%D9%8A%D9%86%D8%A7&info=YVdROU16TTBPRGdtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130109b (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,1,9,,161215,URL: web.archive.org/web/20130819200650/http://ikhwansyria.com/Portals/Content/?Name=%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D9%86%20%D8%A7%D9%84%D8%AE%D8%AA%D8%A7%D9%85%D9%8A%20%D9%84%D9%85%D8%AC%D9%84%D8%B3%20%D8%B4%D9%88%D8%B1%D9%89%20%D8%AC%D9%85%D8%A7%D8%B9%D8%A9%20%D8%A7%D9%84%D8%A5%D8%AE%D9%88%D8%A7%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%8A%D9%86%20%D9%81%D9%8A%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A9&info=YVdROU16TTFOVE1tYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130111 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,1,11,,161215,URL: web.archive.org/web/20131110002724/http://ikhwansyria.com/Portals/Content/?Name=%D9%85%D8%B9%D8%A7%D9%86%D8%A7%D8%A9%20%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%D9%8A%D9%86%20%D8%A7%D9%84%D8%A5%D9%86%D8%B3%D8%A7%D9%86%D9%8A%D8%A9%20%D8%B3%D9%8A%D8%A7%D8%B3%D8%A7%D8%AA%20%D9%8A%D8%B5%D8%B9%D8%A8%20%D9%81%D9%87%D9%85%D9%87%D8%A7%20%D9%88%D9%8A%D8%B5%D8%B9%D8%A8%20%D8%AA%D9%81%D8%B3%D9%8A%D8%B1%D9%87%D8%A7&info=YVdROU16TTFOVEFtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130116 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,1,16,,161215,URL: web.archive.org/web/20131109235503/http://ikhwansyria.com/Portals/Content/?Name=%D8%AC%D9%85%D8%A7%D8%B9%D8%A9%20%D8%A7%D9%84%D8%A5%D8%AE%D9%88%D8%A7%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%8A%D9%86%20%D9%81%D9%8A%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A9%20%D8%AA%D9%86%D8%A7%D8%B4%D8%AF%20%D8%A7%D9%84%D8%A3%D8%B7%D8%A8%D8%A7%D8%A1%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%20%D9%88%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%8A%D9%86%20%D9%88%D8%A3%D8%B7%D8%A8%D8%A7%D8%A1%20%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%20%D8%A7%D9%84%D9%85%D8%A8%D8%A7%D8%AF%D8%B1%D8%A9%20%D9%84%D8%B3%D8%AF%20%D8%A7%D9%84%D8%AB%D8%BA%D8%B1%D8%A9%20%D8%A7%D9%84%D8%A5%D9%86%D8%B3%D8%A7%D9%86%D9%8A%D8%A9%20%D9%81%D9%8A%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A9&info=YVdROU16TTFPREltYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130123 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,1,23,,161215,URL: web.archive.org/web/20131109224107/http://ikhwansyria.com/Portals/Content/?Name=%D8%AC%D8%B1%D9%8A%D9%85%D8%A9%20%D8%B0%D8%A7%D8%AA%20%D8%AB%D9%84%D8%A7%D8%AB%20%D8%B4%D8%B9%D8%A8:%20%D8%AC%D8%A7%D9%85%D8%B9%D8%A9%20%D8%AD%D9%84%D8%A8-%20%D9%88%D8%AD%D8%B5%D9%88%D9%8A%D8%A9%20%D8%AD%D9%85%D8%B5-%20%D9%88%D9%85%D8%AC%D9%84%D8%B3%20%D8%A7%D9%84%D8%A3%D9%85%D9%86%20%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A&info=YVdROU16TTJPVEltYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130130 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,1,30,,161215,URL: web.archive.org/web/20131109194953/http://ikhwansyria.com/Portals/Content/?Name=%D8%AD%D9%88%D9%84%20%D8%AA%D9%81%D8%AC%D9%8A%D8%B1%20%D8%A7%D9%84%D8%B3%D9%84%D9%85%D9%8A%D8%A9%20%D9%88%D8%A2%D8%AB%D8%A7%D8%B1%D9%87%20%D8%A7%D9%84%D9%81%D8%A7%D8%AC%D8%B9%D8%A9&info=YVdROU16TTRNakltYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130131  (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,1,31,,161215,URL: web.archive.org/web/20131110031929/http://ikhwansyria.com/Portals/Content/?Name=%D9%87%D9%84%20%D8%A8%D8%B9%D8%AF%20%D8%A5%D8%B1%D9%87%D8%A7%D8%A8%20%D8%A8%D8%B4%D8%A7%D8%B1%20%D9%88%D8%A3%D8%A8%D9%8A%D9%87%20%D8%A5%D8%B1%D9%87%D8%A7%D8%A8!%20%D9%81%D9%8A%20%D8%B0%D9%83%D8%B1%D9%89%20%D9%85%D8%AC%D8%B2%D8%B1%D8%A9%20%D8%AD%D9%85%D8%A7%D8%A9..%20%D9%88%D9%85%D9%86%20%D9%85%D8%AC%D8%B2%D8%B1%D8%A9%20%D8%B3%D8%AC%D9%86%20%D8%AA%D8%AF%D9%85%D8%B1%20%D8%A5%D9%84%D9%89%20%D9%85%D8%AC%D8%A7%D8%B2%D8%B1%20%D8%B3%D8%AC%D9%88%D9%86%20%D8%A7%D9%84%D9%8A%D9%88%D9%85..&info=YVdROU16TTVNelFtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
