Document,Title,Type,Organization,Org Abbreviation,Statement.Year,Statement.Month,Statement.Day,Statement.Individual,Retrieval Date (YYMMDD),url or source
130201 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,2,1,,161215,URL: web.archive.org/web/20130819225841/http://ikhwansyria.com/Portals/Content/?Name=%D8%AD%D9%88%D9%84%20%D9%85%D8%A4%D8%AA%D9%85%D8%B1%20%D8%A7%D9%84%D9%85%D8%A7%D9%86%D8%AD%D9%8A%D9%86%20%D9%81%D9%8A%20%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA..%20%D8%A3%D9%8A%D9%87%D8%A7%20%D8%A7%D9%84%D9%85%D8%A7%D9%86%D8%AD%20%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85%20%D8%A7%D8%B9%D8%B1%D9%81%20%D8%A3%D9%8A%D9%86%20%D8%AA%D9%82%D8%B9%20%D9%85%D9%86%D8%AD%D8%AA%D9%83&info=YVdROU16TTVOalFtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130207 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,2,7,,161215,URL: web.archive.org/web/20131109232331/http://ikhwansyria.com/Portals/Content/?Name=%D8%AA%D8%B5%D8%B1%D9%8A%D8%AD%20%D8%A5%D8%B9%D9%84%D8%A7%D9%85%D9%8A%20%D8%AD%D9%88%D9%84%20%D8%A7%D9%84%D9%87%D8%AC%D9%88%D9%85%20%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%20%D8%B9%D9%84%D9%89%20%D8%A7%D9%84%D8%A3%D8%B1%D8%A7%D8%B6%D9%8A%20%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%D8%A9&info=YVdROU16TTVPRE1tYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130312 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,3,12,,161215,URL: web.archive.org/web/20131110041445/http://ikhwansyria.com/Portals/Content/?Name=%D8%AA%D8%AC%D8%AF%D9%8A%D8%AF%20%D9%85%D9%8A%D8%AB%D8%A7%D9%82%20%D8%A7%D9%84%D8%A8%D8%B1%20%D9%88%D8%A7%D9%84%D9%88%D9%81%D8%A7%D8%A1&info=YVdROU16UXhNVGdtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130316 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,3,16,,161215,URL: web.archive.org/web/20131109231713/http://ikhwansyria.com/Portals/Content/?Name=%D9%86%D8%AF%D8%A7%D8%A1%20%D9%85%D9%86%20%D8%AC%D9%85%D8%A7%D8%B9%D8%A9%20%D8%A7%D9%84%D8%A5%D8%AE%D9%88%D8%A7%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%8A%D9%86%20%D9%81%D9%8A%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A9%20%20%D9%84%D8%A5%D8%AD%D9%8A%D8%A7%D8%A1%20%D8%A7%D9%84%D8%B0%D9%83%D8%B1%D9%89%20%D8%A7%D9%84%D8%B3%D9%86%D9%88%D9%8A%D8%A9%20%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A%D8%A9%20%D9%84%D8%A7%D9%86%D8%B7%D9%84%D8%A7%D9%82%D8%A9%20%D8%A7%D9%84%D8%AB%D9%88%D8%B1%D8%A9%20%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%D8%A9%20%D8%A7%D9%84%D9%85%D8%A8%D8%A7%D8%B1%D9%83%D8%A9&info=YVdROU16UTJOVGttYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130322 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,3,22,,161215,URL: web.archive.org/web/20131109200327/http://ikhwansyria.com/Portals/Content/?Name=%D8%B5%D8%AD%D9%8A%D9%81%D8%A9%20%D8%A8%D8%B1%20%D9%88%D9%88%D9%81%D8%A7%D8%A1%20..%20%D9%88%D8%AB%D9%8A%D9%82%20%D8%A7%D9%84%D8%B9%D9%87%D8%AF%20%D9%85%D8%B9%20%D8%A7%D9%84%D8%A3%D8%B4%D9%82%D8%A7%D8%A1%20%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%8A%D9%86%20%D8%B9%D9%84%D9%89%20%D8%A7%D9%84%D8%A3%D8%B1%D8%B6%20%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%D8%A9&info=YVdROU16UTNNRE1tYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130411 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,4,11,,161215,URL: web.archive.org/web/20131110002709/http://ikhwansyria.com/Portals/Content/?Name=%D8%A8%D9%8A%D8%A7%D9%86%20%D8%B5%D8%A7%D8%AF%D8%B1%20%D8%B9%D9%86%20%D8%AC%D9%85%D8%A7%D8%B9%D8%A9%20%D8%A7%D9%84%D8%A5%D8%AE%D9%88%D8%A7%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%8A%D9%86%20%D9%81%D9%8A%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A9%20%D8%A8%D8%B4%D8%A3%D9%86%20%D8%A7%D8%BA%D8%AA%D9%8A%D8%A7%D9%84%20%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1%20%D8%A7%D9%84%D8%A8%D9%88%D8%B7%D9%8A%20%D9%88%D9%85%D9%86%20%D9%85%D8%B9%D9%87&info=YVdROU16UTRNamNtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130423 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,4,23,,161215,URL: web.archive.org/web/20131110000154/http://ikhwansyria.com/Portals/Content/?Name=%D8%A8%D9%8A%D8%A7%D9%86%20%D9%88%D8%AA%D9%88%D8%B6%D9%8A%D8%AD%20%D9%85%D9%86%20%D8%AC%D9%85%D8%A7%D8%B9%D8%A9%20%D8%A7%D9%84%D8%A5%D8%AE%D9%88%D8%A7%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%8A%D9%86%20%D9%81%D9%8A%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A9&info=YVdROU16VXhOVEltYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130503 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,5,3,,161215,URL: web.archive.org/web/20131110052514/http://ikhwansyria.com/Portals/Content/?Name=%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9%20%D8%B9%D8%B1%D8%B7%D9%88%D8%B2%20%D8%A7%D9%84%D9%81%D8%B6%D9%84%20..%20%D8%A7%D9%84%D8%A5%D8%A8%D8%A7%D8%AF%D8%A9%20%D8%A7%D9%84%D8%B9%D9%84%D9%86%D9%8A%D8%A9%20%D9%84%D8%B4%D8%B9%D8%A8%20%D8%A3%D8%B9%D8%B2%D9%84&info=YVdROU16VXpNVGNtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130512 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,5,12,,161215,URL: web.archive.org/web/20130820012133/http://ikhwansyria.com/Portals/Content/?Name=%D8%AD%D9%88%D9%84%20%D8%A7%D9%84%D9%85%D8%AC%D8%A7%D8%B2%D8%B1%20%D8%A7%D9%84%D8%AA%D9%8A%20%D9%8A%D8%B1%D8%AA%D9%83%D8%A8%D9%87%D8%A7%20%D8%A7%D9%84%D9%86%D8%B8%D8%A7%D9%85%20%D9%81%D9%8A%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A9&info=YVdROU16VTFNRGttYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130512b (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,5,12,,161215,URL: web.archive.org/web/20131109231116/http://ikhwansyria.com/Portals/Content/?Name=%D8%A5%D8%B1%D9%87%D8%A7%D8%A8%20%D8%A7%D9%84%D9%85%D8%AC%D8%B1%D9%85%D9%8A%D9%86%20%D9%8A%D8%AA%D8%AE%D8%B7%D9%89%20%D8%A7%D9%84%D8%AE%D8%B7%20%D8%A7%D9%84%D8%A3%D8%AD%D9%85%D8%B1%20%D8%A5%D9%84%D9%89%20%D8%AE%D8%A7%D8%B1%D8%AC%20%D8%A7%D9%84%D8%AD%D8%AF%D9%88%D8%AF&info=YVdROU16VTJPRFltYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130519 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,5,19,,161215,URL: web.archive.org/web/20130820033707/http://ikhwansyria.com/Portals/Content/?Name=%D8%AD%D9%88%D9%84%20%D9%85%D8%AC%D8%B2%D8%B1%D8%A9%20%D8%A7%D9%84%D8%B1%D9%8A%D8%AD%D8%A7%D9%86%D9%8A%D8%A9%20%D8%A5%D8%B1%D9%87%D8%A7%D8%A8%20%D8%A7%D9%84%D9%85%D8%AC%D8%B1%D9%85%D9%8A%D9%86%20%D9%8A%D8%AA%D8%AE%D8%B7%D9%89%20%D8%A7%D9%84%D8%AE%D8%B7%20%D8%A7%D9%84%D8%A3%D8%AD%D9%85%D8%B1%20%D8%A5%D9%84%D9%89%20%D8%AE%D8%A7%D8%B1%D8%AC%20%D8%A7%D9%84%D8%AD%D8%AF%D9%88%D8%AF&info=YVdROU16VTNNRGdtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130529 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,5,29,,161215,URL: web.archive.org/web/20131110045844/http://ikhwansyria.com/Portals/Content/?Name=%D8%AD%D8%B2%D8%A8%20%D8%A7%D9%84%D9%84%D9%87%20%D9%88%D8%A7%D8%AD%D8%AA%D9%84%D8%A7%D9%84%20%D8%A7%D9%84%D9%82%D8%B5%D9%8A%D8%B1&info=YVdROU16VTRNelltYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130617 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,6,17,,161215,URL: web.archive.org/web/20130926021617/http://www.ikhwansyria.com/Portals/Content/?Name=%D8%AD%D9%88%D9%84%20%D8%A7%D9%84%D8%AD%D8%B1%D8%A8%20%D8%A7%D9%84%D8%AA%D9%8A%20%D8%A3%D8%B9%D9%84%D9%86%D9%87%D8%A7%20(%D8%AD%D8%B3%D9%86%20%D9%86%D8%B5%D8%B1%20%D8%A7%D9%84%D9%84%D9%87)%20%D8%B9%D9%84%D9%89%20%D8%A7%D9%84%D8%B4%D8%B9%D8%A8%20%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%20%D9%88%D8%A7%D9%84%D8%BA%D8%B2%D9%88%20%D8%A7%D9%84%D8%AE%D8%A7%D8%B1%D8%AC%D9%8A%20%D8%A7%D9%84%D8%B0%D9%8A%20%D8%AA%D9%82%D9%88%D9%85%20%D8%A8%D9%87%20%D8%A7%D9%84%D8%B9%D8%B5%D8%A7%D8%A8%D8%A7%D8%AA%20%D8%A7%D9%84%D8%B7%D8%A7%D8%A6%D9%81%D9%8A%D8%A9&info=YVdROU16WXdNelFtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130706 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,7,6,,161215,URL: web.archive.org/web/20131109183445/http://ikhwansyria.com/Portals/Content/?Name=%D8%B4%D9%83%D8%B1%D8%A7%D9%8B%20%D9%84%D8%B4%D8%B9%D8%A8%20%D8%A7%D9%84%D9%83%D9%86%D8%A7%D9%86%D8%A9..%20%D8%B4%D9%83%D8%B1%D8%A7%20%D9%84%D9%82%D9%8A%D8%A7%D8%AF%D8%A9%20%D9%85%D8%B5%D8%B1..&info=YVdROU16WXpOVGttYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130706b (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,7,6,,161215,URL: web.archive.org/web/20140330194129/http://ikhwansyria.com/Portals/Content/?Name=%D8%AD%D9%88%D9%84%20%D8%A7%D9%84%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8%20%D8%B9%D9%84%D9%89%20%D8%A7%D9%84%D8%B4%D8%B1%D8%B9%D9%8A%D8%A9%20%D8%A7%D9%84%D8%AF%D8%B3%D8%AA%D9%88%D8%B1%D9%8A%D8%A9%20%D9%81%D9%8A%20%D9%85%D8%B5%D8%B1&info=YVdROU16WTJOamdtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130711 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,7,11,,161215,URL: web.archive.org/web/20140330194541/http://ikhwansyria.com/Portals/Content/?Name=%D8%A8%D9%8A%D8%A7%D9%86%20%D9%85%D8%AC%D9%84%D8%B3%20%D8%A7%D9%84%D8%B4%D9%88%D8%B1%D9%89%20%D9%84%D8%AC%D9%85%D8%A7%D8%B9%D8%A9%20%D8%A7%D9%84%D8%A5%D8%AE%D9%88%D8%A7%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%8A%D9%86%20%D9%81%D9%8A%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A9&info=YVdROU16WTJOamttYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130723 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,7,23,,161215,URL: web.archive.org/web/20140331012649/http://ikhwansyria.com/Portals/Content/?Name=%D8%A5%D8%B9%D9%84%D8%A7%D9%86%20%D8%AA%D8%B6%D8%A7%D9%85%D9%86%20%D9%85%D9%86%20%D8%AC%D9%85%D8%A7%D8%B9%D8%A9%20%D8%A7%D9%84%D8%A5%D8%AE%D9%88%D8%A7%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%8A%D9%86%20%D9%81%D9%8A%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A9%20%D9%85%D8%B9%20%D8%A7%D9%84%D9%86%D8%A7%D8%B4%D8%B7%D8%A9%20%D8%A7%D9%84%D8%AD%D9%82%D9%88%D9%82%D9%8A%D8%A9%20%D9%85%D9%86%D8%AA%D9%87%D9%89%20%D8%B3%D9%84%D8%B7%D8%A7%D9%86%20%D8%A8%D8%A7%D8%B4%D8%A7%20%D8%A7%D9%84%D8%A3%D8%B7%D8%B1%D8%B4&info=YVdROU16WTNOakVtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130814 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,8,14,,161215,URL: web.archive.org/web/20140330191937/http://ikhwansyria.com/Portals/Content/?Name=%D8%A5%D9%86%D9%87%D9%85%20%D9%84%D8%A7%20%D9%8A%D9%85%D8%A7%D8%B1%D8%B3%D9%88%D9%86%20%D8%A7%D9%84%D8%A5%D8%B1%D9%87%D8%A7%D8%A8%20%D9%81%D9%82%D8%B7%20%D8%A8%D9%84%20%D9%8A%D8%B5%D9%86%D8%B9%D9%88%D9%86%20%D9%85%D8%B1%D8%AA%D9%83%D8%B2%D8%A7%D8%AA%D9%87%20%D9%88%D9%8A%D8%BA%D8%B0%D9%88%D9%86%20%D9%85%D9%86%D8%B8%D9%85%D8%A7%D8%AA%D9%87&info=YVdROU16WTVPVEFtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130823 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,8,23,,161215,URL: web.archive.org/web/20140330200602/http://ikhwansyria.com/Portals/Content/?Name=%D9%85%D9%86%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A9%20%D8%A5%D9%84%D9%89%20%D9%85%D8%B5%D8%B1%20%D8%A7%D9%84%D8%AF%D9%85%D8%A7%D8%A1%20%D8%AA%D8%B3%D9%8A%D9%84%20%D9%88%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%20%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%B6%D8%B1%20%D9%8A%D8%AA%D9%81%D8%B1%D8%AC&info=YVdROU16Y3pNakltYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130824 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,8,24,,161215,URL: web.archive.org/web/20140330202354/http://ikhwansyria.com/Portals/Content/?Name=%D8%A8%D9%8A%D8%A7%D9%86%20%D8%B5%D8%AD%D9%81%D9%8A%20%D8%A8%D8%AE%D8%B5%D9%88%D8%B5%20%D9%85%D8%AC%D8%B2%D8%B1%D8%A9%20%D8%A7%D9%84%D8%BA%D9%88%D8%B7%D8%A9%20%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D8%A9%20%D9%88%D9%82%D8%B5%D9%81%D9%87%D8%A7%20%D8%A8%D8%A7%D9%84%D9%83%D9%8A%D9%85%D8%A7%D9%88%D9%8A&info=YVdROU16YzBOalFtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130830 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,8,30,,161215,URL: web.archive.org/web/20140330193857/http://ikhwansyria.com/Portals/Content/?Name=%D8%A8%D8%AE%D8%B5%D9%88%D8%B5%20%D8%A7%D9%84%D8%AA%D9%81%D8%AC%D9%8A%D8%B1%D8%A7%D8%AA%20%D8%A7%D9%84%D8%A5%D8%B1%D9%87%D8%A7%D8%A8%D9%8A%D8%A9%20%D9%81%D9%8A%20%D8%B7%D8%B1%D8%A7%D8%A8%D9%84%D8%B3%20%D8%A7%D9%84%D8%B4%D8%A7%D9%85&info=YVdROU16YzBOalltYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
130912 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,9,12,,161215,URL: web.archive.org/web/20140331000412/http://ikhwansyria.com/Portals/Content/?Name=%D8%B1%D8%A4%D9%8A%D8%A9%20%D8%AC%D9%85%D8%A7%D8%B9%D8%A9%20%D8%A7%D9%84%D8%A5%D8%AE%D9%88%D8%A7%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%8A%D9%86%20%D9%81%D9%8A%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A9%20%D9%81%D9%8A%D9%85%D8%A7%20%D9%8A%D8%AA%D8%B9%D9%84%D9%82%20%D8%A8%D8%A7%D9%84%D8%B6%D8%B1%D8%A8%D8%A9%20%D8%A7%D9%84%D8%B9%D8%B3%D9%83%D8%B1%D9%8A%D8%A9%20%D8%A7%D9%84%D9%85%D8%AD%D8%AA%D9%85%D9%84%D8%A9&info=YVdROU16YzJNRE1tYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
131108 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,11,8,,161215,URL: web.archive.org/web/20140330194052/http://ikhwansyria.com/Portals/Content/?Name=%D8%AE%D8%B0%D9%84%D8%A7%D9%86%D9%83%D9%85%20%D9%8A%D9%82%D8%AA%D9%84%D9%86%D8%A7...%20%D8%A3%D9%86%D9%82%D8%B0%D9%88%D8%A7%20%D8%B7%D9%81%D9%84%D8%A7%D9%8B%20%D9%8A%D9%82%D8%AA%D9%84%D9%87%20%D8%A8%D8%B4%D8%A7%D8%B1%20%D8%BA%D8%AF%D8%A7%D9%8B&info=YVdROU16YzVNVFltYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
131118 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,11,18,,161215,URL: web.archive.org/web/20140330195118/http://ikhwansyria.com/Portals/Content/?Name=%D9%85%D9%88%D9%82%D9%81%20%D8%AC%D9%85%D8%A7%D8%B9%D8%A9%20%D8%A7%D9%84%D8%A5%D8%AE%D9%88%D8%A7%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%8A%D9%86%20%D9%81%D9%8A%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A9%20%D9%85%D9%86%20%D9%85%D8%A4%D8%AA%D9%85%D8%B1%20%D8%AC%D9%86%D9%8A%D9%81%20%D9%A2&info=YVdROU16azBNalVtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
131125 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,11,25,,161215,URL: web.archive.org/web/20140330194701/http://ikhwansyria.com/Portals/Content/?Name=%D8%A7%D9%84%D8%B4%D9%87%D9%8A%D8%AF%20%D8%B9%D8%A8%D8%AF%20%D8%A7%D9%84%D9%82%D8%A7%D8%AF%D8%B1%20%D8%A7%D9%84%D8%B5%D8%A7%D9%84%D8%AD:%20%D9%85%D8%AC%D8%A7%D9%87%D8%AF%D9%8F%20%D8%A7%D9%84%D8%B4%D8%A7%D9%85%20%D8%A7%D9%84%D8%B0%D9%8A%20%D8%B5%D9%8E%D8%AF%D9%8E%D9%82%D9%8E%20%D9%85%D8%A7%20%D8%B9%D8%A7%D9%87%D8%AF%D9%8E%20%D8%A7%D9%84%D9%84%D9%87%D9%8E%20%D8%B9%D9%84%D9%8A%D9%87&info=YVdROU16a3dPVGdtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
131221 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,13,12,21,,161215,URL: web.archive.org/web/20140330201545/http://ikhwansyria.com/Portals/Content/?Name=%D8%AA%D8%B5%D8%B1%D9%8A%D8%AD%20%D9%84%D9%84%D9%86%D8%A7%D8%B7%D9%82%20%D8%A7%D9%84%D8%A7%D8%B9%D9%84%D8%A7%D9%85%D9%8A%20%D9%84%D8%AC%D9%85%D8%A7%D8%B9%D8%A9%20%D8%A7%D9%84%D8%A5%D8%AE%D9%88%D8%A7%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%8A%D9%86%20%D9%81%D9%8A%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A9&info=YVdROU16a3hPVFltYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
140110 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,14,1,10,,161215,URL: web.archive.org/web/20140330200021/http://ikhwansyria.com/Portals/Content/?Name=%D8%AB%D9%86%D8%A7%D8%A6%D9%8A%D8%A9%20%D8%A7%D9%84%D9%82%D8%AA%D9%84%20%D9%88%D8%A7%D9%84%D8%B5%D9%85%D8%AA%20%D8%A8%D9%8A%D9%86%20%D9%86%D8%B8%D8%A7%D9%85%20%D8%A7%D9%84%D8%A3%D8%B3%D8%AF%20%D9%88%D8%A7%D9%84%D9%85%D8%AC%D8%AA%D9%85%D8%B9%20%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A&info=YVdROU16azJNVGdtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
140112 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,14,1,12,,161215,URL: web.archive.org/web/20140330201002/http://ikhwansyria.com/Portals/Content/?Name=%D8%A7%D9%84%D9%85%D9%88%D9%82%D9%81%20%D8%A7%D9%84%D8%B1%D8%B3%D9%85%D9%8A%20%D9%85%D9%86%20%D9%85%D8%A4%D8%AA%D9%85%D8%B1%20%D8%AC%D9%86%D9%8A%D9%812&info=YVdROU16azVPRGNtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
140121 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,14,1,21,,161220,URL: web.archive.org/web/20140331000421/http://ikhwansyria.com/Portals/Content/?Name=%D9%86%D9%81%D9%8A%20%D9%84%D9%85%D8%A7%20%D8%A3%D9%88%D8%B1%D8%AF%D8%AA%D9%87%20%D8%A8%D8%B9%D8%B6%20%D9%88%D8%B3%D8%A7%D8%A6%D9%84%20%D8%A7%D9%84%D8%A5%D8%B9%D9%84%D8%A7%D9%85%20%D8%AD%D9%88%D9%84%20%D9%85%D9%88%D8%A7%D9%81%D9%82%D8%A9%20%D8%A7%D9%84%D8%AC%D9%85%D8%A7%D8%B9%D8%A9%20%D8%B9%D9%84%D9%89%20%D8%AD%D8%B6%D9%88%D8%B1%20%D8%AC%D9%86%D9%8A%D9%812&info=YVdROU5EQXdNakFtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
140128 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,14,1,28,,161220,
140202 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,14,2,2,,161220,
140611 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,14,6,11,,161220,
140616 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,14,6,16,,161220,
140630 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,14,6,30,,161220,
140718 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,14,7,18,,161220,
140718b (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,14,7,18,,161220,
140821 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,14,8,21,,161215,
140910 (MB) Statement,,Statement,Syrian Muslim Brotherhood,SMB,14,9,10,,161215,URL: web.archive.org/web/20141209074405/http://www.ikhwansyria.com/Portals/Content/?Name=%D8%B9%D8%A7%D9%85%20%D8%B9%D9%84%D9%89%20%D9%85%D8%AC%D8%B2%D8%B1%D8%A9%20%D8%A7%D9%84%D8%BA%D9%88%D8%B7%D8%A9%20%D9%88%D8%A7%D9%84%D9%85%D8%AC%D8%B1%D9%85%20%D9%85%D8%A7%D8%B2%D8%A7%D9%84%20%D8%A8%D9%84%D8%A7%20%D8%B9%D9%82%D8%A7%D8%A8&info=YVdROU5ETXhPRGNtYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
