file_name,label,title,type,org_abbreviated,year,month,day,accessed_on,source
NUM_charter,69_NUM,General Principles of the Militias,charter,NUM,13,1,14,161007,https://www.facebook.com/National.Unity.Sy/?hc_ref=PAGES_TIMELINE&fref=nf
PYD_charter,70_PYD,The Project of Self-Governance,charter,PYD,16,,,160620,http://pydrojava.com/?page_id=13
SaS_charter,71_SaS,Unification statement,charter,SaS,15,2,15,,
SaS_selfdescription,72_SaS,About SaS,self_description,SaS,12,6,21,161116,http://web.archive.org/web/20120621003700/http://www.shamfalcons.net/ar/page/about-sham-falcons.php
SCSR_selfdescription,73_SCSR,Facebook Profile,self_description,SCSR,11,,,160622,https://www.facebook.com/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%AB%D9%88%D8%B1%D8%A9-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%D8%A9-Supreme-Council-of-Syrian-Revolution-116159318470147/info?tab=page_info
SDF_charter,74_SDF,Final statement of founding conference of the SDF,charter,SDF,15,10,17,160617,https://www.youtube.com/watch?v=Y8dfK7j9_SU
SDF_selfdescription,75_SDF,Statement,self_description,SDF,15,11,17,160617,https://www.qsdmedia.org/donnes/%D8%A8%D9%8A%D8%A7%D9%86-%D8%A8%D8%A7%D8%B3%D9%85-%D8%A7%D9%84%D9%82%D9%8A%D8%A7%D8%AF%D8%A9-%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9-%D9%84%D9%82%D9%88%D8%A7%D8%AA-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D8%A7/
SDPP_selfdescription,76_SDPP,Facebook Profile,self_description,SDPP,13,,,160822,https://www.facebook.com/syria.sdpp/about/?entry_point=page_nav_about_item&tab=page_info
SF_charter,77_LF,Founding Statement,charter,LF,14,12,25,,
SIC_charter,78_SIC,Statement of Establishment SIC,charter,SIC,13,,,,
SIC_selfdescription,79_SIC,Profile,self_description,SIC,13,,,,
SIF_charter,80_SIF,Charter of the SIF,charter,SIF,12,12,12,160810,https://docs.google.com/document/d/1fACS9tltlmZDmomlB1ZtiJLZaAckWOT0yhtRwoskgIE/edit?pli=1
SIF_selfdescription,81_SIF,Profile,self_description,SIF,12,12,21,160505,https://syrianif.wordpress.com
SIG_selfdescription,82_SIG,Facebook Profile,self_description,SIG,13,,,160504,https://www.facebook.com/SyrianGovorg/info/?tab=page_info
SILF_selfdescription,83_SILF,Who Are We,self_description,SILF,13,12,16,161007,https://web.archive.org/web/20131216225821/http://syrialiberationfront.net/%D9%85%D9%86-%D9%86%D8%AD%D9%86-%D8%9F-2/
SL_charter,84_SL,Founding Statement of the SL,charter,SL,14,3,10,160701,https://www.youtube.com/watch?v=Nau5YyK7lTA
SL_selfdescription,85_SL,About the SL,self_description,SL,14,10,16,160701,http://shamlegion.net/%D8%AA%D8%B9%D8%B1%D9%8A%D9%81-%D8%A8%D9%81%D9%8A%D9%84%D9%82-%D8%A7%D9%84%D8%B4%D8%A7%D9%85/%D9%84%D9%85%D8%AD%D8%A9-%D8%B9%D9%86-%D9%81%D9%8A%D9%84%D9%82-%D8%A7%D9%84%D8%B4%D8%A7%D9%85/%D9%84%D9%85%D8%AD%D8%A9-%D8%B9%D9%86-%D9%81%D9%8A%D9%84%D9%82-%D8%A7%D9%84%D8%B4%D8%A7%D9%85/
SLF2_selfdescription,86_SLF,Founding Statement,self_description,SLF,18,2,18,,
SMB_charter,87_SMB,Covenant and Charter of the MB in Syria,charter,SMB,12,,,,
SMB_selfdescription,88_SMB,The Syria We Want,self_description,SMB,12,7,27,160623,http://www.ikhwansyria.com/Portals/Content/?Name=%D8%B9%D9%87%D8%AF%20%D9%88%D9%85%D9%8A%D8%AB%D8%A7%D9%82%20%D9%85%D9%86%20%D8%AC%D9%85%D8%A7%D8%B9%D8%A9%20%D8%A7%D9%84%D8%A5%D8%AE%D9%88%D8%A7%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%8A%D9%86%20%D9%81%D9%8A%20%D8%B3%D9%88%D8%B1%D9%8A%D8%A7&info=YVdROU16QTVOREltYzI5MWNtTmxQVk4xWWxCaFoyVW1kSGx3WlQweEpuaHRiR2xrUFNZPSt1.Syr
SNC_charter,89_SNC,Political Principles,charter,SNC,12,,,160620,http://www.etilaf.org/%D9%85%D9%83%D9%88%D9%86%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D8%A6%D8%AA%D9%84%D8%A7%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A.html
